Interval=	0.001 s
ExcelDateTime=	4.5714696435963589e+004	2/26/2025 16:42:52.067254
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 4
Range=	2.000 mV
4.422	-0.4558125
4.423	-0.689875
4.424	-0.39025
4.425	-0.181
4.426	-0.3705
4.427	0.022625
4.428	0.52875
4.429	0.8879375
4.43	1.01825
4.431	0.3134375
4.432	-0.32325
4.433	-0.63775
4.434	-1.187875
4.435	-0.8006875
4.436	0.1195
4.437	0.1036875
4.438	-0.2215625
4.439	-0.0531875
4.44	0.3681875
4.441	0.0301875
4.442	-1.015625
4.443	-1.39275
4.444	-0.62675
4.445	-0.02775
4.446	-0.413875
4.447	-0.90175
4.448	-0.7935
4.449	-0.6445625
4.45	-0.61
4.451	-0.2103125
4.452	0.2220625
4.453	0.0629375
4.454	-0.4315625
4.455	-0.2215625
4.456	0.5423125
4.457	-0.041
4.458	-1.017813
4.459	-0.6774375
4.46	0.472875
4.461	0.6013125
4.462	-0.1903125
4.463	-0.628375
4.464	-0.9970625
4.465	-0.206875
4.466	0.533625
4.467	-0.172
4.468	-0.6474375
4.469	-0.4245625
4.47	0.0634375
4.471	0.00525
4.472	-0.54225
4.473	-0.1990625
4.474	0.8463125
4.475	0.8975625
4.476	-0.8126875
4.477	NaN
4.478	-0.7395625
4.479	0.6890625
4.48	0.1995625
4.481	-0.55075
4.482	-0.297375
4.483	0.1353125
4.484	-0.5704375
4.485	-0.391
4.486	1.547625
4.487	1.7915
4.488	0.1695
4.489	-0.9931875
4.49	-1.8145
4.491	-1.094813
4.492	0.23
4.493	-0.3811875
4.494	-0.8025625
4.495	-0.6348125
4.496	-0.7195625
4.497	-0.6085625
4.498	-0.57475
4.499	-0.58125
4.5	-0.6134375
4.501	-0.7175625
4.502	-0.7079375
4.503	-0.371875
4.504	0.14225
4.505	0.042375
4.506	-0.32
4.507	-0.0718125
4.508	0.7166875
4.509	0.8931875
4.51	-0.0604375
4.511	-0.9934375
4.512	-0.8479375
4.513	-0.22825
4.514	-0.4243125
4.515	-0.6903125
4.516	-0.70075
4.517	-0.68225
4.518	-0.28325
4.519	0.026
4.52	0.2185
4.521	0.0280625
4.522	-0.292625
4.523	0.704875
4.524	1.613375
4.525	0.8831875
4.526	-0.825625
4.527	-1.656063
4.528	-0.728
4.529	0.5559375
4.53	0.7260625
4.531	-0.292
4.532	-0.7970625
4.533	-0.274875
4.534	0.2790625
4.535	-0.1856875
4.536	-1.325125
4.537	-1.094688
4.538	0.0129375
4.539	0.7004375
4.54	1.537813
4.541	1.21275
4.542	-0.88675
4.543	NaN
4.544	-1.044313
4.545	0.53675
4.546	0.235625
4.547	-0.6646875
4.548	-0.4488125
4.549	-0.266375
4.55	-0.218875
4.551	0.1580625
4.552	-0.0840625
4.553	-0.5986875
4.554	-0.0710625
4.555	0.730625
4.556	0.5309375
4.557	-0.9419375
4.558	NaN
4.559	-0.4035
4.56	1.387563
4.561	0.3718125
4.562	-0.724875
4.563	-0.8281875
4.564	-0.5271875
4.565	-0.372375
4.566	-0.065
4.567	0.4595
4.568	0.6543125
4.569	0.48275
4.57	0.4108125
4.571	0.79475
4.572	-0.1485
4.573	NaN
4.574	-1.117813
4.575	1.355125
4.576	1.119
4.577	-0.1471875
4.578	-1.191125
4.579	-1.367687
4.58	-0.5959375
4.581	-0.37
4.582	-0.6990625
4.583	-0.6458125
4.584	-0.2248125
4.585	0.0158125
4.586	-0.0776875
4.587	-0.3875625
4.588	-0.6725
4.589	-0.5195625
4.59	-0.148125
4.591	0.2104375
4.592	0.407375
4.593	0.1856875
4.594	0.2004375
4.595	0.534875
4.596	-0.072875
4.597	-1.575375
4.598	-1.106
4.599	0.1038125
4.6	0.16675
4.601	0.3163125
4.602	0.4455625
4.603	0.3935625
4.604	-0.22975
4.605	-0.143
4.606	0.6076875
4.607	-0.1500625
4.608	-0.7028125
4.609	-0.431625
4.61	-0.499625
4.611	-0.7005625
4.612	-0.70775
4.613	-0.369625
4.614	-0.416875
4.615	-0.806625
4.616	-0.7224375
4.617	-0.37
4.618	-0.3405
4.619	-0.4419375
4.62	-0.426625
4.621	-0.063625
4.622	0.3798125
4.623	0.1051875
4.624	-0.380125
4.625	-0.3590625
4.626	-0.000125
4.627	-0.003875
4.628	-0.1346875
4.629	0.45175
4.63	0.2326875
4.631	-0.4153125
4.632	-0.1269375
4.633	0.17
4.634	0.349125
4.635	-0.1170625
4.636	-1.073125
4.637	-1.402375
4.638	-0.216
4.639	0.7241875
4.64	0.091625
4.641	-0.3388125
4.642	-0.53725
4.643	-0.8225
4.644	-0.5559375
4.645	0.447875
4.646	1.038375
4.647	0.3981875
4.648	-0.3753125
4.649	-0.47675
4.65	0.0225625
4.651	0.1200625
4.652	-0.3055625
4.653	-0.8478125
4.654	-0.93125
4.655	-0.223
4.656	0.102125
4.657	-0.1920625
4.658	-0.305375
4.659	-0.4229375
4.66	-0.571
4.661	-0.3935625
4.662	-0.30425
4.663	-0.2669375
4.664	-0.2538125
4.665	-0.4241875
4.666	-0.6200625
4.667	-0.332
4.668	0.271125
4.669	0.2154375
4.67	-0.1914375
4.671	-0.4705625
4.672	-0.543625
4.673	0.122875
4.674	0.9594375
4.675	0.70075
4.676	-0.3923125
4.677	-0.5459375
4.678	-0.3803125
4.679	-0.7575
4.68	-0.5276875
4.681	-0.202125
4.682	-0.47125
4.683	-0.584625
4.684	-0.5031875
4.685	-0.44975
4.686	-0.4166875
4.687	-0.127125
4.688	0.7285
4.689	1.313563
4.69	0.80875
4.691	-0.0891875
4.692	-0.4370625
4.693	-0.18925
4.694	-0.3866875
4.695	-0.7788125
4.696	-0.1968125
4.697	-0.1118125
4.698	-0.4719375
4.699	-0.37525
4.7	-0.1791875
4.701	-0.45125
4.702	-0.8739375
4.703	-0.060375
4.704	0.600875
4.705	0.244125
4.706	-0.4156875
4.707	-0.6746875
4.708	0.1853125
4.709	0.4645625
4.71	-0.0216875
4.711	-0.7169375
4.712	-1.23375
4.713	-0.5063125
4.714	-0.1424375
4.715	-0.4096875
4.716	-0.3325
4.717	-0.1764375
4.718	-0.2014375
4.719	-0.1245625
4.72	0.163375
4.721	-0.1173125
4.722	-0.5455625
4.723	0.09375
4.724	0.362625
4.725	-0.01275
4.726	-0.13775
4.727	-0.387375
4.728	-0.3478125
4.729	-0.1704375
4.73	0.2853125
4.731	0.3801875
4.732	-0.3103125
4.733	-0.6925
4.734	-0.5965625
4.735	-0.267375
4.736	-0.01975
4.737	0.1064375
4.738	0.2295625
4.739	0.4679375
4.74	0.4644375
4.741	-0.1074375
4.742	-0.6350625
4.743	-0.6470625
4.744	-0.4203125
4.745	0.0085625
4.746	0.633
4.747	0.3129375
4.748	-1.096688
4.749	-1.231188
4.75	0.3860625
4.751	1.93025
4.752	1.625938
4.753	-0.616
4.754	NaN
4.755	-1.526625
4.756	-0.0608125
4.757	0.1856875
4.758	-0.244625
4.759	-0.3665625
4.76	-0.497375
4.761	-0.4798125
4.762	-0.4260625
4.763	-0.41625
4.764	-0.3790625
4.765	-0.365875
4.766	-0.386
4.767	-0.351875
4.768	-0.3034375
4.769	-0.17925
4.77	-0.1073125
4.771	-0.026375
4.772	0.2609375
4.773	0.6003125
4.774	0.5380625
4.775	-0.0145
4.776	-0.538125
4.777	-0.5255625
4.778	0.1363125
4.779	0.9063125
4.78	0.9678125
4.781	0.1765
4.782	-0.9228125
4.783	-0.607
4.784	0.315625
4.785	-0.16
4.786	-0.2995
4.787	-0.23825
4.788	-0.4399375
4.789	-0.4401875
4.79	-0.4665625
4.791	-0.438875
4.792	-0.5049375
4.793	-0.5525625
4.794	-0.49925
4.795	-0.3293125
4.796	-0.2934375
4.797	-0.5918125
4.798	-0.5010625
4.799	-0.0878125
4.8	-0.03775
4.801	-0.082375
4.802	-0.2205625
4.803	-0.373625
4.804	-0.35125
4.805	-0.2393125
4.806	-0.067125
4.807	-0.0661875
4.808	0.2523125
4.809	0.087375
4.81	-0.70075
4.811	-0.4099375
4.812	0.3233125
4.813	0.8719375
4.814	1.675688
4.815	1.737188
4.816	0.7435
4.817	-0.3934375
4.818	-0.9856875
4.819	-0.36925
4.82	-0.2795
4.821	-0.6670625
4.822	-0.6968125
4.823	-0.8133125
4.824	-0.667375
4.825	-0.4828125
4.826	-0.5334375
4.827	-0.494875
4.828	-0.3268125
4.829	-0.3158125
4.83	-0.515375
4.831	-0.4521875
4.832	-0.19375
4.833	-0.4131875
4.834	-0.392
4.835	0.1783125
4.836	0.6785625
4.837	0.0055625
4.838	-1.334813
4.839	-0.6178125
4.84	0.9130625
4.841	0.38475
4.842	-0.2385
4.843	-0.023875
4.844	-0.218375
4.845	-0.323875
4.846	-0.18275
4.847	-0.0305
4.848	-0.2831875
4.849	-0.480125
4.85	-0.0558125
4.851	0.471625
4.852	1.260688
4.853	1.423
4.854	-0.0075
4.855	-1.435188
4.856	-1.280188
4.857	-0.3636875
4.858	-0.1468125
4.859	-0.398625
4.86	-0.2416875
4.861	-0.028375
4.862	-0.023625
4.863	-0.1416875
4.864	-0.4604375
4.865	-0.6610625
4.866	-0.1566875
4.867	0.6175
4.868	0.1348125
4.869	-0.563
4.87	-0.2409375
4.871	0.5145
4.872	0.6155625
4.873	-0.025375
4.874	-0.5391875
4.875	-0.570875
4.876	-0.2898125
4.877	-0.4390625
4.878	-0.50825
4.879	-0.3003125
4.88	-0.2498125
4.881	-0.3041875
4.882	-0.552875
4.883	-0.65775
4.884	-0.4945
4.885	-0.2304375
4.886	-0.1695
4.887	-0.1518125
4.888	0.22375
4.889	0.528625
4.89	0.679375
4.891	0.239875
4.892	-0.04925
4.893	0.413125
4.894	0.164
4.895	-0.6003125
4.896	-0.6016875
4.897	0.385125
4.898	0.7384375
4.899	0.123
4.9	-0.035
4.901	0.219
4.902	0.05075
4.903	-0.807125
4.904	-1.210813
4.905	-0.665125
4.906	-0.1705625
4.907	0.0408125
4.908	0.0169375
4.909	-0.0956875
4.91	-0.103625
4.911	-0.248625
4.912	-0.50425
4.913	-0.5458125
4.914	-0.3654375
4.915	-0.2525625
4.916	-0.2028125
4.917	-0.1495
4.918	-0.244625
4.919	-0.2415
4.92	-0.123375
4.921	-0.228375
4.922	-0.0411875
4.923	0.602375
4.924	0.739375
4.925	0.5586875
4.926	0.0015
4.927	-0.2005
4.928	0.1334375
4.929	-0.403375
4.93	0.107375
4.931	0.91525
4.932	0.0958125
4.933	-0.70225
4.934	-0.9848125
4.935	-0.838625
4.936	-0.230625
4.937	-0.108
4.938	-0.2588125
4.939	-0.2089375
4.94	-0.3803125
4.941	-0.2446875
4.942	-0.1574375
4.943	-0.3091875
4.944	-0.237625
4.945	-0.0369375
4.946	0.193
4.947	0.4039375
4.948	0.324625
4.949	-0.3571875
4.95	-1.14875
4.951	-0.7409375
4.952	-0.0884375
4.953	-0.019875
4.954	0.1506875
4.955	0.1818125
4.956	0.0159375
4.957	-0.399
4.958	-0.52275
4.959	-0.374125
4.96	-0.229
4.961	0.3214375
4.962	0.8040625
4.963	0.9351875
4.964	0.741
4.965	-0.027125
4.966	-0.2563125
4.967	-0.05625
4.968	0.0841875
4.969	-0.1671875
4.97	-1.039
4.971	-1.0225
4.972	-0.2560625
4.973	-0.0551875
4.974	-0.2655
4.975	-0.316875
4.976	-0.3094375
4.977	-0.226125
4.978	-0.145375
4.979	-0.21025
4.98	0.031125
4.981	0.0855
4.982	-0.4944375
4.983	-0.559625
4.984	-0.406625
4.985	-0.516625
4.986	-0.1085
4.987	0.1089375
4.988	-0.0006875
4.989	-0.2406875
4.99	-0.120875
4.991	0.465625
4.992	0.4181875
4.993	0.0509375
4.994	-0.194375
4.995	-0.43275
4.996	-0.6335625
4.997	-0.553
4.998	-0.4069375
4.999	-0.3261875
5	-0.2268125
5.001	-0.2241875
5.002	0.1394375
5.003	1.037938
5.004	1.3455
5.005	0.386375
5.006	-0.656125
5.007	-0.883
5.008	-0.3435625
5.009	0.356625
5.01	0.701875
5.011	0.7096875
5.012	0.028875
5.013	-0.1869375
5.014	0.105875
5.015	-0.1103125
5.016	-0.262125
5.017	-0.665125
5.018	-0.885625
5.019	-0.602625
5.02	-0.434
5.021	-0.2948125
5.022	-0.124375
5.023	-0.075875
5.024	-0.17775
5.025	-0.0730625
5.026	0.2086875
5.027	0.3495
5.028	0.28175
5.029	-0.3278125
5.03	-0.8925
5.031	-0.7885625
5.032	0.01775
5.033	0.25775
5.034	-0.4463125
5.035	-0.468375
5.036	-0.105125
5.037	-0.0735625
5.038	-0.199
5.039	-0.2043125
5.04	0.1696875
5.041	0.639875
5.042	0.62425
5.043	-0.3844375
5.044	-0.9979375
5.045	-0.629625
5.046	-0.41425
5.047	-0.2920625
5.048	-0.267875
5.049	-0.35125
5.05	-0.4115
5.051	-0.2485625
5.052	0.132375
5.053	0.332625
5.054	0.1138125
5.055	-0.0196875
5.056	0.3075625
5.057	0.6808125
5.058	0.3639375
5.059	0.1344375
5.06	0.3718125
5.061	-0.17375
5.062	-0.8501875
5.063	-0.7953125
5.064	-0.07
5.065	0.2576875
5.066	-0.329375
5.067	-0.746625
5.068	-0.518125
5.069	-0.0235625
5.07	0.3213125
5.071	0.1980625
5.072	-0.3835625
5.073	-0.4764375
5.074	-0.178625
5.075	-0.292375
5.076	-0.4519375
5.077	-0.2545625
5.078	-0.1496875
5.079	-0.2225
5.08	-0.213
5.081	-0.0155
5.082	0.319625
5.083	0.624125
5.084	0.30525
5.085	-0.827625
5.086	-0.9989375
5.087	-0.07
5.088	0.245
5.089	-0.12075
5.09	-0.37325
5.091	-0.3326875
5.092	-0.4168125
5.093	-0.5345625
5.094	-0.2731875
5.095	0.11425
5.096	0.1089375
5.097	-0.0955
5.098	0.0135
5.099	0.04825
5.1	0.197125
5.101	0.381375
5.102	0.3625625
5.103	0.5795625
5.104	0.068375
5.105	-0.5339375
5.106	-0.064125
5.107	0.18825
5.108	-0.2303125
5.109	-0.3285625
5.11	0.001875
5.111	-0.126875
5.112	-0.4631875
5.113	-0.5388125
5.114	-0.25175
5.115	0.270125
5.116	0.720125
5.117	0.4294375
5.118	-0.4735
5.119	-0.749125
5.12	-0.333875
5.121	0.2931875
5.122	0.524625
5.123	0.1126875
5.124	-0.243625
5.125	-0.4029375
5.126	-0.5104375
5.127	-0.445375
5.128	-0.4266875
5.129	-0.4966875
5.13	-0.3439375
5.131	0.1843125
5.132	0.278125
5.133	-0.410625
5.134	-1.203375
5.135	-1.031313
5.136	0.2053125
5.137	0.73375
5.138	0.3586875
5.139	-0.0298125
5.14	-0.2978125
5.141	-0.1249375
5.142	0.3216875
5.143	0.3915
5.144	0.25975
5.145	0.14025
5.146	0.411125
5.147	0.72825
5.148	0.5925
5.149	0.0939375
5.15	-1.084
5.151	-1.136688
5.152	0.6255625
5.153	1.136063
5.154	0.0314375
5.155	-0.603375
5.156	-0.3508125
5.157	-0.089375
5.158	-0.037875
5.159	-0.1456875
5.16	-0.4059375
5.161	-0.4255625
5.162	-0.364375
5.163	-0.420125
5.164	-0.5325625
5.165	-0.4954375
5.166	-0.46325
5.167	-0.505875
5.168	-0.2883125
5.169	0.0818125
5.17	0.1826875
5.171	-0.01475
5.172	0.0939375
5.173	0.1413125
5.174	0.1818125
5.175	0.24725
5.176	0.254
5.177	-0.000625
5.178	-0.73675
5.179	-0.579125
5.18	-0.1054375
5.181	0.3225
5.182	0.2985625
5.183	0.20225
5.184	0.6515
5.185	0.445875
5.186	-0.29
5.187	-0.85925
5.188	-0.6181875
5.189	-0.3605625
5.19	-0.0703125
5.191	0.26675
5.192	0.0940625
5.193	0.0485
5.194	-0.2435625
5.195	-0.397625
5.196	-0.120125
5.197	-0.3123125
5.198	-0.181625
5.199	0.2576875
5.2	0.2069375
5.201	-0.072875
5.202	-0.5090625
5.203	-0.50125
5.204	-0.0035625
5.205	0.0761875
5.206	-0.137
5.207	0.0775
5.208	0.3690625
5.209	0.0980625
5.21	-0.535625
5.211	-0.8175
5.212	-0.9745
5.213	-0.5305625
5.214	0.7260625
5.215	1.150438
5.216	0.7586875
5.217	0.0855625
5.218	-0.15625
5.219	0.535875
5.22	0.9200625
5.221	0.170125
5.222	-0.7974375
5.223	-0.4366875
5.224	0.2209375
5.225	-0.048
5.226	-0.2403125
5.227	-0.3763125
5.228	-0.61125
5.229	-0.4738125
5.23	-0.0575625
5.231	0.3993125
