Interval=	0.001 s
ExcelDateTime=	4.5714697250337449e+004	2/26/2025 16:44:02.429156
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 4
Range=	2.000 mV
2.259	-0.0441875
2.26	-0.3465625
2.261	-0.4921875
2.262	-0.5701875
2.263	-0.527
2.264	-0.43875
2.265	-0.363125
2.266	-0.50025
2.267	-0.600875
2.268	-0.7601875
2.269	-0.8081875
2.27	0.0039375
2.271	0.2253125
2.272	-0.45225
2.273	-1.084125
2.274	-1.208875
2.275	-0.88225
2.276	-0.5515
2.277	-0.368625
2.278	-0.500375
2.279	-0.4650625
2.28	-0.3743125
2.281	-0.4770625
2.282	-0.5864375
2.283	-0.244
2.284	0.3434375
2.285	0.027125
2.286	-0.7770625
2.287	-0.9623125
2.288	-0.7955625
2.289	-0.876625
2.29	-0.91575
2.291	-0.7365625
2.292	-0.3531875
2.293	0.0544375
2.294	0.50925
2.295	0.202875
2.296	-1.029562
2.297	-0.78175
2.298	-0.0266875
2.299	-0.4140625
2.3	-0.3919375
2.301	-0.3849375
2.302	-0.66175
2.303	-0.356375
2.304	0.0751875
2.305	-0.10225
2.306	-1.41625
2.307	-1.945688
2.308	-0.4151875
2.309	0.409
2.31	-0.455375
2.311	-1.071125
2.312	-1.057063
2.313	-1.041187
2.314	-1.007188
2.315	-0.6138125
2.316	-0.1068125
2.317	0.007375
2.318	-0.45425
2.319	-1.003937
2.32	-1.036125
2.321	-0.818875
2.322	-0.662125
2.323	-0.908625
2.324	-0.9923125
2.325	-0.7256875
2.326	-0.402625
2.327	-0.3363125
2.328	-0.5723125
2.329	-0.6404375
2.33	-0.6250625
2.331	-0.587875
2.332	-0.593375
2.333	-0.670125
2.334	-0.868875
2.335	-0.3799375
2.336	0.26525
2.337	0.12
2.338	-0.1045
2.339	-0.4350625
2.34	-0.761125
2.341	-0.839
2.342	-0.7595625
2.343	-0.8344375
2.344	-0.9920625
2.345	-0.892875
2.346	-0.8030625
2.347	-0.8306875
2.348	-0.86175
2.349	-0.8975
2.35	-0.96875
2.351	-0.9344375
2.352	-0.8925625
2.353	-1.094563
2.354	-0.7646875
2.355	0.360625
2.356	1.614688
2.357	0.965375
2.358	-1.237375
2.359	NaN
2.36	-0.760375
2.361	1.286875
2.362	0.2291875
2.363	-1.156187
2.364	-1.209875
2.365	-0.9901875
2.366	-0.891125
2.367	-0.9766875
2.368	-0.909625
2.369	-0.92875
2.37	-0.857125
2.371	-0.7011875
2.372	-0.6745625
2.373	-0.64525
2.374	-0.4443125
2.375	-0.1504375
2.376	0.0216875
2.377	-0.13325
2.378	-0.4075625
2.379	-0.2533125
2.38	-0.159375
2.381	-0.733625
2.382	-0.879
2.383	-0.5254375
2.384	-0.5181875
2.385	-0.489125
2.386	-0.434625
2.387	-0.5046875
2.388	-0.6804375
2.389	-1.021562
2.39	-0.8941875
2.391	-0.470125
2.392	-0.822625
2.393	-1.183063
2.394	-0.68425
2.395	-0.2173125
2.396	-0.0143125
2.397	-0.316
2.398	-0.563
2.399	-0.1241875
2.4	0.205625
2.401	0.10825
2.402	-0.504875
2.403	-1.164187
2.404	-1.144
2.405	-0.4871875
2.406	0.182375
2.407	-0.013375
2.408	-0.7068125
2.409	-0.712
2.41	-0.297375
2.411	-0.2125
2.412	-0.455875
2.413	-0.8489375
2.414	-0.8886875
2.415	-0.7753125
2.416	-0.8355625
2.417	-0.85025
2.418	-0.822125
2.419	-0.78325
2.42	-0.7873125
2.421	-0.785875
2.422	-0.734375
2.423	-0.729875
2.424	-0.6785625
2.425	-0.6421875
2.426	-0.597
2.427	-0.55775
2.428	-0.6561875
2.429	-0.3330625
2.43	-0.0760625
2.431	-0.2403125
2.432	-0.4133125
2.433	-0.433125
2.434	-0.3584375
2.435	-0.3380625
2.436	-0.46625
2.437	-0.833875
2.438	-1.060437
2.439	-1.041
2.44	-0.5889375
2.441	-0.019375
2.442	0.062875
2.443	-0.4116875
2.444	-0.98125
2.445	-0.9893125
2.446	-0.4861875
2.447	-0.0628125
2.448	-0.4698125
2.449	-0.922625
2.45	-0.6359375
2.451	0.0804375
2.452	0.52525
2.453	0.5065625
2.454	-0.4150625
2.455	-1.38925
2.456	-0.6735
2.457	0.0204375
2.458	-0.08125
2.459	-0.407875
2.46	-0.6455
2.461	-0.27125
2.462	-0.167625
2.463	-0.451375
2.464	-0.64375
2.465	-0.68775
2.466	-0.68525
2.467	-0.692375
2.468	-0.731
2.469	-0.7503125
2.47	-0.607875
2.471	-0.553125
2.472	-0.577875
2.473	-0.6161875
2.474	-0.7053125
2.475	-0.3831875
2.476	-0.0149375
2.477	-0.1210625
2.478	-0.5545
2.479	-0.7100625
2.48	-0.3394375
2.481	-0.1230625
2.482	-0.1640625
2.483	-0.229
2.484	-0.548375
2.485	-0.541875
2.486	-0.1508125
2.487	-0.2489375
2.488	-0.42375
2.489	-0.5295625
2.49	-0.7125625
2.491	-0.4794375
2.492	-0.39575
2.493	-0.4915625
2.494	-0.270625
2.495	-0.2394375
2.496	-0.431
2.497	-0.646875
2.498	-0.6273125
2.499	-0.6175
2.5	-0.8798125
2.501	-0.7830625
2.502	-0.6490625
2.503	-0.4835625
2.504	-0.393875
2.505	-0.6245625
2.506	-0.4650625
2.507	-0.4615
2.508	-0.5108125
2.509	0.13325
2.51	0.826625
2.511	0.7068125
2.512	0.106
2.513	-0.445875
2.514	-0.845
2.515	-0.4608125
2.516	0.796375
2.517	0.775875
2.518	-0.549
2.519	-0.8905625
2.52	-0.5715
2.521	-0.0895
