Interval=	0.001 s
ExcelDateTime=	4.5714686356866121e+004	2/26/2025 16:28:21.233233
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 4
Range=	2.000 mV
8.676	-1.3275
8.677	1.50025
8.678	NaN
8.679	0.8621875
8.68	-0.703875
8.681	-0.160875
8.682	-0.388875
8.683	-1.169625
8.684	-1.364938
8.685	-1.765625
8.686	-1.708438
8.687	-0.7229375
8.688	0.694125
8.689	0.36225
8.69	-1.56825
8.691	-0.9063125
8.692	1.298875
8.693	1.256
8.694	0.2629375
8.695	-0.66775
8.696	-0.5696875
8.697	0.12025
8.698	0.060625
8.699	-0.9121875
8.7	-0.923
8.701	0.355875
8.702	-0.2721875
8.703	-1.242125
8.704	-0.9171875
8.705	-0.4914375
8.706	-0.416625
8.707	-0.403
8.708	-0.3965
8.709	-0.5981875
8.71	-0.2409375
8.711	-0.201375
8.712	-0.2506875
8.713	-0.3555625
8.714	-0.8045
8.715	-0.22175
8.716	0.3723125
8.717	0.8570625
8.718	0.395875
8.719	-0.94975
8.72	-1.148187
8.721	-0.5510625
8.722	-0.8098125
8.723	-1.112313
8.724	0.24875
8.725	1.166625
8.726	-0.494625
8.727	-0.9578125
8.728	0.8430625
8.729	1.157625
8.73	-0.0526875
8.731	-0.5670625
8.732	-0.6133125
8.733	-0.766875
8.734	-1.017063
8.735	-1.078875
8.736	-0.7918125
8.737	-1.263188
8.738	-1.648688
8.739	-1.085875
8.74	-0.476
8.741	0.0840625
8.742	0.2025625
8.743	-0.2116875
8.744	0.5843125
8.745	0.6605625
8.746	-0.477875
8.747	-1.143938
8.748	-1.376313
8.749	-0.6808125
8.75	-0.1685
8.751	-0.6083125
8.752	-0.689625
8.753	-0.3758125
8.754	-0.0600625
8.755	0.6306875
8.756	1.047
8.757	1.525375
8.758	0.0483125
8.759	-1.050938
8.76	0.4706875
8.761	0.4370625
8.762	-1.147125
8.763	-1.020688
8.764	0.2453125
8.765	-0.2374375
8.766	-0.4658125
8.767	-0.1150625
8.768	-0.5536875
8.769	-0.8635
8.77	-0.9040625
8.771	-0.6143125
8.772	-0.260875
8.773	-0.065125
8.774	0.106
8.775	-0.474375
8.776	-0.9070625
8.777	-0.273625
8.778	0.21
8.779	-0.231375
8.78	-0.826
8.781	-0.520625
8.782	-0.015
8.783	-0.0218125
8.784	-0.2815625
8.785	-0.1173125
8.786	1.05325
8.787	NaN
8.788	0.697875
8.789	-1.720625
8.79	-1.313
8.791	0.8250625
8.792	1.74175
8.793	0.245
8.794	-1.40775
8.795	-0.17875
8.796	0.649
8.797	-0.9926875
8.798	-1.43625
8.799	-0.492375
8.8	0.0973125
8.801	0.0943125
8.802	-0.0761875
8.803	1.0215
8.804	-0.1435625
8.805	-1.789938
8.806	0.483125
8.807	1.373
8.808	-0.2746875
8.809	-1.234375
8.81	-0.7750625
8.811	-0.2738125
8.812	-0.4963125
8.813	-0.7493125
8.814	-0.919625
8.815	-0.6359375
8.816	0.4109375
8.817	1.155313
8.818	-0.95175
8.819	-1.92275
8.82	0.9686875
8.821	NaN
8.822	0.4274375
8.823	-0.9555625
8.824	-0.407375
8.825	-0.5828125
8.826	-1.002813
8.827	-0.9804375
8.828	-0.690875
8.829	-0.318
8.83	-0.5964375
8.831	-0.533
8.832	-0.3616875
8.833	-0.32075
8.834	-0.231875
8.835	-0.3028125
8.836	-0.3598125
8.837	-0.0624375
8.838	-0.2038125
8.839	-0.3309375
8.84	0.1111875
8.841	0.75175
8.842	0.37925
8.843	-0.8900625
8.844	-0.20075
8.845	1.075563
8.846	0.666875
8.847	-0.1625625
8.848	-0.730125
8.849	-1.074
8.85	-0.982125
8.851	-0.67
8.852	-0.5184375
8.853	-0.444
8.854	-0.2875625
8.855	-0.4651875
8.856	-0.4038125
