Interval=	0.001 s
ExcelDateTime=	4.5714703475469265e+004	2/26/2025 16:53:00.280544
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 4
Range=	2.000 mV
4.874	-0.2936875
4.875	-0.5523125
4.876	-0.9146875
4.877	-0.664625
4.878	-0.2889375
4.879	-0.431625
4.88	0.052875
4.881	0.7676875
4.882	1.197
4.883	1.424375
4.884	1.078188
4.885	0.3039375
4.886	-0.65275
4.887	-1.309375
4.888	-0.7620625
4.889	-0.2816875
4.89	-0.48525
4.891	-0.8664375
4.892	-0.557875
4.893	0.043
4.894	-0.2175
4.895	0.0001875
4.896	0.4824375
4.897	0.1034375
4.898	-0.243875
4.899	-0.00075
4.9	0.243
4.901	0.743
4.902	0.299
4.903	-0.0589375
4.904	-0.0093125
4.905	-0.782625
4.906	-0.9289375
4.907	-1.331813
4.908	-1.210875
4.909	-0.3510625
4.91	-0.1624375
4.911	-0.56725
4.912	-0.80125
4.913	-0.0180625
4.914	0.7314375
4.915	0.6845625
4.916	0.286125
4.917	0.14175
4.918	0.8405
4.919	0.9100625
4.92	0.2855625
4.921	0.4301875
4.922	0.0030625
4.923	-0.6366875
4.924	-0.6185
4.925	-0.8216875
4.926	-1.128063
4.927	-0.862875
4.928	-0.3073125
4.929	-0.0845
4.93	-0.1490625
4.931	-0.4435
4.932	-0.6076875
4.933	-0.6075
4.934	-0.90125
4.935	-1.161563
4.936	0.124625
4.937	1.478625
4.938	0.180375
4.939	-0.591
4.94	0.668375
4.941	1.14625
4.942	0.3948125
4.943	0.131375
4.944	0.4903125
4.945	0.2904375
4.946	-0.5235
4.947	-1.432375
4.948	-1.020563
4.949	0.1681875
4.95	-0.0759375
4.951	-1.36625
4.952	-1.3855
4.953	-0.3103125
4.954	0.1911875
4.955	0.7415625
4.956	1.24525
4.957	0.544625
4.958	-0.449625
4.959	-0.957125
4.96	-0.833375
4.961	-0.4913125
4.962	-0.4075
4.963	-0.539
4.964	-0.4541875
4.965	-0.0884375
4.966	0.9525
4.967	NaN
4.968	1.202625
4.969	-0.893125
4.97	-1.119125
4.971	-0.3305625
4.972	-0.184625
4.973	-0.4263125
4.974	-0.596875
4.975	-0.481
4.976	-0.0975
4.977	-0.0098125
4.978	-0.62275
4.979	-0.59
4.98	0.00975
4.981	0.073875
4.982	-0.2926875
4.983	-0.551125
4.984	-0.48125
4.985	-0.7434375
4.986	-0.9550625
4.987	-0.80225
4.988	-0.3779375
4.989	0.54225
4.99	0.7046875
4.991	0.18875
4.992	0.30925
4.993	0.365375
4.994	0.357125
4.995	0.3413125
4.996	-0.4619375
4.997	-0.4038125
4.998	0.21575
4.999	0.416125
5	0.2989375
5.001	0.0765625
5.002	0.328375
5.003	0.0485
5.004	-0.47175
5.005	-1.098313
5.006	-1.376937
5.007	-1.07525
5.008	-0.829625
5.009	0.00175
5.01	0.5125625
5.011	0.697125
5.012	1.02025
5.013	0.2030625
5.014	-0.964875
5.015	-1.181812
5.016	-0.84225
5.017	0.1166875
5.018	0.7673125
5.019	0.4871875
5.02	0.1454375
5.021	-0.43375
5.022	-0.417625
5.023	-0.1278125
5.024	-0.154625
5.025	-0.0373125
5.026	0.14175
5.027	0.011125
5.028	-0.6985
5.029	-1.148562
5.03	-1.128
5.031	-0.80475
5.032	0.3291875
5.033	1.009875
5.034	0.64175
5.035	0.162
5.036	-0.4406875
5.037	-0.6238125
5.038	-0.388625
5.039	-0.597625
5.04	-0.851375
5.041	-0.7418125
5.042	-0.570375
5.043	-0.5234375
5.044	-0.3520625
5.045	0.4613125
5.046	0.920875
5.047	0.8231875
5.048	0.9874375
5.049	0.721625
5.05	-0.0019375
5.051	-0.828625
5.052	-0.762125
5.053	-0.343625
5.054	-0.516
5.055	-0.7705625
5.056	-0.975
5.057	-0.1424375
5.058	0.47475
5.059	-0.2853125
5.06	-0.8544375
5.061	-0.1335
5.062	0.6556875
5.063	0.18225
5.064	-0.2658125
5.065	-0.029625
5.066	0.041
5.067	-0.07725
5.068	-0.0213125
5.069	-0.0204375
5.07	-0.204375
5.071	-0.1518125
5.072	-0.26025
5.073	-0.5134375
5.074	-0.7499375
5.075	-0.7755625
5.076	-0.5280625
5.077	-0.347375
5.078	-0.3399375
5.079	-0.3494375
5.08	0.5075
5.081	0.96125
5.082	0.560875
5.083	0.0120625
5.084	-0.092125
5.085	0.28175
5.086	0.207625
5.087	-0.2725
5.088	-0.9754375
5.089	-0.951125
5.09	-0.2755625
5.091	-0.4755
5.092	-0.6828125
5.093	-0.3348125
5.094	-0.3661875
5.095	-0.089375
5.096	0.5504375
5.097	0.693625
5.098	0.2179375
5.099	-0.199375
5.1	-0.549125
5.101	-0.8296875
5.102	-0.6285
5.103	-0.5418125
5.104	-0.159625
5.105	0.514
5.106	0.577
5.107	0.27975
5.108	-0.1520625
5.109	-0.5744375
5.11	-0.9188125
5.111	-0.7421875
5.112	-0.588625
5.113	-0.7251875
5.114	-0.68075
5.115	-0.8883125
5.116	-0.0380625
5.117	0.7736875
5.118	1.323
5.119	1.580813
5.12	0.185375
5.121	-0.443875
5.122	-0.4559375
5.123	-0.103875
5.124	0.6229375
5.125	0.75375
5.126	-0.0594375
5.127	-1.0085
5.128	-0.6135
5.129	-0.9355
5.13	-1.244438
5.131	-1.160187
5.132	-1.64725
5.133	-0.9524375
5.134	0.013125
5.135	0.729625
5.136	0.4980625
5.137	0.236375
5.138	1.403875
5.139	1.411063
5.14	-0.0273125
5.141	-0.93525
5.142	-0.6688125
5.143	-0.0865
5.144	0.4286875
5.145	0.3975625
5.146	-0.244
5.147	-0.638
5.148	-0.7965
5.149	-0.5378125
5.15	-0.1460625
5.151	0.069375
5.152	0.198125
5.153	-0.10575
5.154	-0.651
5.155	-0.616375
5.156	-0.38875
5.157	-0.806625
5.158	-0.88175
5.159	-0.46925
5.16	-0.3466875
5.161	0.0085625
5.162	0.29875
5.163	0.1978125
5.164	0.338875
5.165	0.2734375
5.166	0.22025
5.167	-0.0179375
5.168	-0.1345
5.169	-0.7354375
5.17	-1.119563
5.171	0.3125
5.172	0.1099375
5.173	-0.5566875
5.174	0.4025625
5.175	0.97275
5.176	0.6029375
5.177	0.2234375
5.178	-0.2421875
5.179	-0.95225
5.18	-1.307938
5.181	-0.754625
5.182	0.0614375
5.183	-0.1596875
5.184	-0.36575
5.185	-0.427
5.186	-0.3953125
5.187	0.07025
5.188	0.10575
5.189	-0.9445
5.19	-1.01525
5.191	-0.10125
5.192	-0.2245
5.193	-0.1640625
5.194	-0.184125
5.195	-0.29425
5.196	0.175875
5.197	0.3609375
5.198	0.1153125
5.199	0.6741875
5.2	1.191688
5.201	0.65225
5.202	0.1349375
5.203	-0.005625
5.204	-0.5063125
5.205	-0.7865
5.206	-0.3425625
5.207	-0.2805625
5.208	-0.71875
5.209	-0.9478125
5.21	-0.3065
5.211	-0.1760625
5.212	-1.194563
5.213	-0.9390625
5.214	-0.4000625
5.215	-0.3975625
5.216	-0.02125
5.217	-0.0201875
5.218	0.026625
5.219	0.269375
5.22	0.0858125
5.221	0.1460625
5.222	0.3229375
5.223	-0.21025
5.224	-1.076938
5.225	-1.033187
5.226	0.0649375
5.227	1.072938
5.228	0.8833125
5.229	0.719
5.23	1.141438
5.231	0.3510625
5.232	-0.9499375
5.233	-1.387813
5.234	-0.7306875
5.235	0.0893125
5.236	0.41575
5.237	0.1365625
5.238	-0.7600625
5.239	-1.0485
5.24	-0.9713125
5.241	-0.60775
5.242	-0.0914375
5.243	0.05325
5.244	0.553125
5.245	1.072625
5.246	0.3145
5.247	-0.9385
5.248	-1.156688
5.249	-0.393
5.25	0.1685
5.251	0.1213125
5.252	0.1284375
5.253	0.4059375
5.254	0.5043125
5.255	-0.070125
5.256	-0.851625
5.257	-1.448563
5.258	-1.6075
5.259	-1.10975
5.26	-0.4983125
5.261	0.0041875
5.262	0.5313125
5.263	0.557625
5.264	1.031375
5.265	1.453188
5.266	0.3194375
5.267	0.21775
5.268	0.75525
5.269	0.0336875
5.27	-0.693625
5.271	-1.224375
5.272	-1.165688
5.273	-0.7675625
5.274	-0.81025
5.275	-1.293313
5.276	-1.446625
5.277	-1.57775
5.278	-0.5800625
5.279	1.27225
5.28	1.487125
5.281	1.066938
5.282	0.869375
5.283	0.7145625
5.284	-0.1928125
5.285	-0.7249375
5.286	-0.6106875
5.287	-0.8685625
5.288	-0.984625
5.289	-0.081875
5.29	0.627875
5.291	-0.043625
5.292	0.1423125
5.293	0.4573125
5.294	0.01925
5.295	-0.7273125
5.296	-1.108875
5.297	-0.610125
5.298	-0.153625
5.299	0.4713125
5.3	0.156125
5.301	-0.8125
5.302	-0.5324375
5.303	0.545375
5.304	1.070313
5.305	0.5615
5.306	-0.15
5.307	-0.742375
5.308	-0.299625
5.309	0.609625
5.31	-0.1416875
5.311	-0.5349375
5.312	-0.403875
5.313	-0.95775
5.314	-0.8215625
5.315	-0.652375
5.316	-0.62125
5.317	-0.34425
5.318	-0.3536875
5.319	-0.3596875
5.32	-1.065688
5.321	-1.398375
5.322	0.012375
5.323	1.170563
5.324	1.279625
5.325	0.8648125
5.326	0.4713125
5.327	0.4456875
5.328	0.07225
5.329	-0.442
5.33	-0.3268125
5.331	-0.1898125
5.332	-0.45375
5.333	-0.7640625
5.334	-0.8015625
5.335	-0.6804375
5.336	-0.459875
5.337	-0.2346875
5.338	-0.536875
5.339	-0.4206875
5.34	0.47925
5.341	1.166688
5.342	1.290313
5.343	0.688875
