Interval=	0.001 s
ExcelDateTime=	4.5714706473035963e+004	2/26/2025 16:57:19.270307
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 4
Range=	2.000 mV
3.532	-0.4451875
3.533	-0.646875
3.534	-0.9069375
3.535	0.5295
3.536	0.6918125
3.537	-0.2605625
3.538	0.288625
3.539	0.5966875
3.54	0.8075625
3.541	0.2920625
3.542	0.2963125
3.543	0.5851875
3.544	0.133875
3.545	-0.344625
3.546	-0.6724375
3.547	-0.7599375
3.548	-0.797375
3.549	-0.7256875
3.55	-0.3083125
3.551	-0.343625
3.552	-0.29225
3.553	0.5804375
3.554	1.239625
3.555	1.206125
3.556	0.981125
3.557	0.9749375
3.558	-0.0850625
3.559	-0.939125
3.56	-0.60825	#1 MFSLS 
3.561	-0.3893125
3.562	-0.327375
3.563	-0.45725
3.564	-0.6575
3.565	-0.6155625
3.566	-0.4258125
3.567	-0.42325
3.568	-0.3554375
3.569	-0.3558125
3.57	-0.0650625
3.571	0.6139375
3.572	0.2399375
3.573	-0.03825
3.574	0.412375
3.575	0.3095625
3.576	-0.133375
3.577	0.00225
3.578	0.204
3.579	0.2623125
3.58	0.1250625
3.581	-0.4273125
3.582	-0.13875
3.583	0.200375
3.584	-0.0871875
3.585	-0.170125
3.586	-0.2143125
3.587	-0.2506875
3.588	-0.2050625
3.589	-0.1238125
3.59	-0.134625
3.591	-0.234
3.592	-0.3366875
3.593	-0.328125
3.594	-0.07125
3.595	-0.0396875
3.596	-0.3135
3.597	-0.540375
3.598	-0.2178125
3.599	0.44925
3.6	0.37475
3.601	0.012625
3.602	-0.5390625
3.603	-0.90025
3.604	-0.6286875
3.605	-0.3250625
3.606	0.0284375
3.607	0.43775
3.608	0.9045
3.609	0.4629375
3.61	0.020125
3.611	0.025375
3.612	-0.3201875
3.613	-0.1580625
3.614	0.2466875
3.615	0.484625
3.616	0.975
3.617	0.79075
3.618	0.156625
3.619	0.07325
3.62	-0.2786875
3.621	-0.4585625
3.622	-0.2924375
3.623	-0.291375
3.624	-0.9230625
3.625	-0.9394375
3.626	-0.7916875
3.627	0.2470625
3.628	1.882313
3.629	0.7856875
3.63	-0.09375
3.631	0.36975
3.632	0.2755
3.633	0.1193125
3.634	-0.179875
3.635	-0.5076875
3.636	-0.5358125
3.637	-0.421375
3.638	-0.266875
3.639	-0.24925
3.64	-0.2338125
3.641	-0.21975
3.642	-0.1908125
3.643	-0.0601875
3.644	-0.651375
3.645	-0.441875
3.646	0.4275625
3.647	0.119625
3.648	0.1993125
3.649	0.4226875
3.65	-0.1400625
3.651	-0.655875
3.652	-0.3584375
3.653	-0.0366875
3.654	-0.23975
3.655	-0.4
3.656	-0.4255625
3.657	-0.4
3.658	-0.4293125
3.659	-0.4635625
3.66	-0.3595
3.661	-0.2194375
3.662	-0.0684375
3.663	0.115875
3.664	0.170125
3.665	0.1018125
3.666	0.1048125
3.667	0.274875
3.668	0.21125
3.669	-0.0073125
3.67	-0.1936875
3.671	-0.402875
3.672	-0.3849375
3.673	-0.396875
3.674	-0.40275
3.675	-0.3106875
3.676	-0.3436875
3.677	-0.340125
3.678	-0.1454375
3.679	0.050125
3.68	0.2000625
3.681	0.1920625
3.682	0.1135625
3.683	0.191875
3.684	-0.0888125
3.685	0.3174375
3.686	1.070125
3.687	0.74575
3.688	0.534
3.689	0.296875
3.69	0.0893125
3.691	0.1688125
3.692	-0.135875
3.693	-0.4910625
3.694	-0.68925
3.695	-0.865
3.696	-0.8738125
3.697	-0.923625
3.698	-0.931
3.699	-0.7778125
3.7	-1.180187
3.701	-0.7725625
3.702	1.042563
3.703	NaN
3.704	1.602875
3.705	0.6119375
3.706	-0.1928125
3.707	-0.9255
3.708	-0.648875
3.709	0.58325
3.71	1.002688
3.711	0.357
3.712	0.1708125
3.713	0.2156875
3.714	0.24775
3.715	0.1825625
3.716	-0.4123125
3.717	-0.641125
3.718	-0.4021875
3.719	-0.4370625
3.72	-0.53625
3.721	-0.6116875
3.722	-0.366125
3.723	-0.294875
3.724	-0.7925
3.725	-1.195625
3.726	-1.43175
3.727	-0.218
3.728	1.175188
3.729	1.288438
3.73	1.39
3.731	1.015937
3.732	0.1419375
3.733	-0.2853125
3.734	-0.2329375
3.735	-0.3701875
3.736	-0.7026875
3.737	-0.811875
3.738	-0.76075
3.739	-0.64575
3.74	-0.4755625
3.741	-0.3730625
3.742	-0.32325
3.743	-0.256875
3.744	-0.24675
3.745	-0.2391875
3.746	-0.27875
3.747	-0.3034375
3.748	-0.33725
3.749	-0.3769375
3.75	-0.4715
3.751	-0.8325
3.752	-0.9941875
3.753	-0.9699375
3.754	-0.0571875
3.755	0.806
3.756	0.18325
3.757	0.1346875
3.758	0.4218125
3.759	0.146375
3.76	0.146625
3.761	0.0825
3.762	-0.1115
3.763	-0.1120625
3.764	-0.1021875
3.765	-0.24
3.766	-0.25725
3.767	-0.1406875
3.768	-0.048875
3.769	-0.1335
3.77	-0.2336875
3.771	-0.2718125
3.772	-0.327
3.773	-0.2684375
3.774	-0.3058125
3.775	-0.3689375
3.776	-0.282625
3.777	0.33725
3.778	0.63425
3.779	0.1325
3.78	-0.0439375
3.781	-0.18175
3.782	0.160125
3.783	0.1450625
3.784	-0.614875
3.785	-0.5033125
3.786	-0.2445
3.787	-0.3075625
3.788	-0.4159375
3.789	-0.44275
3.79	-0.3523125
3.791	-0.310625
3.792	-0.2720625
3.793	-0.2726875
3.794	-0.41575
3.795	-0.579125
3.796	-0.5635
3.797	-0.163
3.798	-0.368125
3.799	-1.111188
3.8	-0.391
3.801	0.0900625
3.802	-0.20525
3.803	0.4984375
3.804	0.9089375
3.805	1.185688
3.806	1.322375
3.807	0.845375
3.808	-0.713375
3.809	-1.049187
3.81	0.16225
3.811	-0.4474375
3.812	-0.7105
3.813	-0.3399375
3.814	0.0378125
3.815	0.486
3.816	0.2256875
3.817	-0.0085625
3.818	0.1925625
3.819	0.410125
3.82	-0.072
3.821	-0.67675
3.822	-0.5364375
3.823	-0.0491875
3.824	-0.09925
3.825	-0.303625
3.826	-0.24975
3.827	-0.1009375
3.828	-0.0115
3.829	-0.61725
3.83	-0.463875
3.831	0.0254375
3.832	-0.19975
3.833	-0.205125
3.834	-0.4360625
3.835	-0.60675
3.836	-0.4533125
3.837	-0.120625
3.838	-0.12
3.839	-0.42525
3.84	-0.288375
3.841	-0.2138125
3.842	-0.294875
3.843	-0.1765625
3.844	-0.125375
3.845	-0.1624375
3.846	-0.161875
3.847	-0.187
3.848	-0.18275
3.849	-0.2053125
3.85	-0.0921875
3.851	0.040375
3.852	-0.0504375
3.853	0.01925
3.854	0.0506875
3.855	-0.025
3.856	-0.1820625
3.857	-0.2223125
3.858	0.0073125
3.859	0.0173125
3.86	-0.373125
3.861	-0.9200625
3.862	-0.82575
3.863	-0.559375
3.864	-0.384
3.865	-0.2428125
3.866	-0.2305625
3.867	1.099875
3.868	1.974875
3.869	0.37325
3.87	-0.4944375
